,standing stones/bouldrers,orthostats/boulders and bank,ditch and bank,bank ,stones on or protrude from mound,"other, inc once below mound",regularly spaced,irregularly spaced,contiguoius,bank faced inside,bank faced outside,stones on inside and outside,orthostats in centre of bank,all horizontal,stones protrrude from/on mound ,below mound,no perimeter focal point,gap,porch,portal stones,tall stone ,recumbent,splayed,other,nothing in interior,mound whole are,mound separate,mound seperte &kerb,ring cairn,boulder burial,megalithic tomb,menhir,boulder,stone circle insiode,other stone structure,other,menir outside,more than one mehir outside,arc outside,paired stones outside,avenue row,other,part of complex,other,diam 1,diam 2,diam 3,diam 4
"Upper Auchnagorth, Aber",y,,,,,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,y,,,
"Abercross, High",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Achanarass Hill, Highlands ",y,,,,,,y,,,,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Acharn Falls , P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,?,,,,,,,,,,,,,,,,,,y,,,
"Airich, P&K",,y,,,,,,y,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,y,,,
"Appletreewick, Yorks",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Ash Cabin Flat, peak",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Auchagsalion  Aran,Y,,,,,,Y,,,,,,,,,,,,,,,,,?,,Y,,,,,,,,,,,,,,,,,,,y,,,
"Auchinduich, High  ",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
"Aultan Brovbster , Hugh ",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
Avebury,,,y,,,,y,,,,,,,,,,,,,,,,,?,,,,,,,,,,y,,,,,,,y,,y,,,,,y
"Backhill of Drachlaw, Abere",y,,,,,,y,,,,,,,,,,,y,,,,,,?,y,,,,,,,,,,,,,,,,,,?,,y,,,
"Backlass, High",y,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
"Balbirnie,P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,y,,,
"Balfarg, Tay",,,y,,,,y,,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,y,,y,,,
"Balgathno,Dundee",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Balhomais , P&K",y,,,,,,?,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
"Balkembrack, Angus",Y,,,,,,Y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Ballynoe, Dow",y,,,,,,,y,,,,,,,,,,,,y,,,,,,,,y,,,,,,,y,,?,,,,,,,,,y,,
"Balmuick, P&K",y,,,,,,?,,,,,,,,,?,y,,,,,,,,?,,,,,,,,,,,,,,,,,,,,y,,,
"Banford Moor S, peak",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
"BANNAU SIR GAER, Car",y,,,,,,?,,,,,,,,,,,,,,?,,,,y,,,,,,,,,,,,,,,,,?,,,y,,,
"Banniside, C",,y,,,,,,,,y,,,,,y,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,y,,,
Barbreck house bB Argyll,Y,,,,,,?,,,,,,,,,,?,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Barbrook 1, peak",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Bfrabrook 2, peak",,y,,,,,,,,,,y,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Blackfaulds, P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Bleberry Haws, C",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Boscawen-Un, Corn",y,,,,,,y,,,,,,,,,,,?,,,,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,
"Boskednan, ",y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,y,,,
Brankam Hill 2 Angus,,,,,y,,,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
"Brat's Hill, C",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,y,y,,,,,,,,,,,,,,y,,,y,,
"Broomrigg centre, c",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Broomrigg S, C",y,,,,,,,y,,,,,,,,,y,,,,,,,,,?,,,,,,,,,,,,,,,,,y,,y,,,
"Brown Edge, Titley Moor, peak",,?,,y,,,,,,,,,,,,,?,,,,,,,?,,,y,,,,,,,?,,,,,,,,,y,,y,,,
"Bryn Y Gorlan , Wles",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Cairnpapple,,,y,,,,,,,,,,,,,,?,,,,,,,,,,,y,,,,,,y,,,,,,,,,,,,y,,
"Car[perby, N. Yorks ",,y,,,,,,,,y,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
"Casterton, C",,y,,,,,,,,y,,,,,y,,,,,,,,,?,,y,,,,,,,,,,,,,,,,,,,y,,,
"Castlehowe Scar, C",y,,,,,,y,,,,,,,,,,,y,,,,,,?,y,,,,,,,,,,,,,,,,,,,,y,,,
"Castlerigg, C",y,,,,,,,y,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,
Cauldside Burn,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,y,y,,y,,,
"Cerrig Arthur, Wales",,y,,,,,,,,?,,,,,,,,,?,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
"Cerrig Duon , Wales",,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,y,,,,,,y,,y,,,
"Cerrig Gaerau, Poewys ",Y,,,,,,Y,,,,,,,y,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Cerrig Pryfraid, Gwyb",y,,,,,,y,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,y,,,,,,,y,,,
Cheetham's Close,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,?,,,y,,,
"Claughried, D&G",y,,,,,,y,,,,,,,,,,,,,,,,,?,y,,,,,,,,,,,,,,,,,y,y,,y,,,
"Cnoc An Liath-Baihd , High",y,,,,,,y,,,,,,,,,,,,,,?,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
"Cockpit, C",,y,,,,,,,,,,y,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
Colen Wood ,y,,,,,,Y,,,,,,,,,,?,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Coulton, Islay",Y,,,,,,?,,,,,,?,,,,?,,,,,,,,Y,?,,,,,,,,,,,,,,,,,,,,y,,
"Craddock Moor, corn",y,,,,,,y,,,,,,,?,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Croft Moraig,y,,,,,,y,,,,,,,,,,,,,y,,,,,,?,,,,,,,,y,,,,,,?,,,,,y,,,
"Cullerlie, Aber",y,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,y,,,
"Dailharraid, High",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
Delph Hill/Extwistle Moor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Doll Tor, peak",,,,,y,,y,,,,,,,,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,y,,,y,,,
"Drannandow, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
"Druid's Seat Wsood, P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Druidskinny, Fer",y,,,,,,,y,,,,,,,,,,,,,,,,?,y,,,,,,,,,,,,,,,,y,y,,,y,,,
"Duddo, North",Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Dumpit Hill, W  Yorks",Y,,,,,,?,,,,,,,,,,?,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,y,,,
"Easthill, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Elva Plain, C",y,,,,,,,Y,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,y,,
"Ewden Beck, Peak",,y,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Eynam Moor III, Peak",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Eynam Mor II, peak",,,y,,,,?,,,,,,,,,,,?,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
"Faskally  Cottages  ,P&K",y,,,,,,y,,,,,,,,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Fernacre, Corn",,?,,,,,,y,,?,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
"Five Strnes, Borders",Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Fowlis Wester West, P&K",y,,,,,,,y,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,y,,,,,,y,,y,,,
"Gamelsnds, C",Y,,,,,,?,,,,,,,,,,,?,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,y,,
Gaythorn Plain 2,,y,,,,,,,?,,,,,,,,,,,,,,,y,,,,,,,,,,?,,,,,,?,,,,,y,,,
"Gellin Hill, Powys",Y,,,,,,Y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Gibbet Moor, Peak",,y,,,,,,,,y,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Girdlestanes, D&G",,?,,,,,,?,,,,,?,,,,,,y,,,,,,y,,,,,,,,,,,,,,,,,,?,,,y,,
"Glasell, Aber",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
"Glenquickan, D&G",y,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,
"Glentirow, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,?,,,,,,?,,y,,,
"Gors Faswr, Pem",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,,,y,,y,,,
"Grey Coft/Secsle, c",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,
"Grubstonems, W Yorks",,y,,Y,,,,,,Y,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Guidbest, High",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
"Gunnerkeld, C",y,,,,,,,y,,,,,,,,,,,,?,,,,?,,,,y,,,,,,,,,,,,,,,,,,y,,
"Hafodty, Conwy",y,,,,,,?,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,,,,,,,,y,,,
Hengwm ,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
"Hmpton Down, Wilts",,,?,,,,?,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
"Hoarstones, Salolp",?,?,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,?,?,,,,,,,,,,,,y,,,
"Hough NE, Tiree",y,,,,,,y,,,,,,,,,,?,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,y,,
"Howe Well, C",y,,,,,,y,,,,,,,?,,,y,,,,,,,,,,,,,,,,,,,y,,,,,,y,,,y,,,
"Hurlers centrall, Corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,?,,,,,y,y,,,,y,
"Hurlers N, Corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,?,,,,,Y,y,,,y,,
"Hurlers S, Corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,?,,,,,?,y,,y,,,
"Innismill, Moray",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
"Iron Hill N, c",y,,,,,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
"Kerry Hill, Salop",y,,,,,,y,,,,,,,,,,,,,,,,,?,,?,,,,,,y,,,,,,,,,,,,,y,,,
"Killin Park, P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,?,,,,,,,,,,,,,,,,,,,,y,,,
King Arthur's Down NW,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
King Arthur's Down SE,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Kingarth, Bute",Y,,,,,,?,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Kingston Rusell, Dorset",y,,,,,,y,,,,,,,y,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Kirkhill, D&G",y,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"L|och Brie, Mull",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,y,,,,,y,?,,y,,,
"Lairdmannoch, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,
"Lear Abele Hill , High",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
"Leazed, Corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Lecet Hill, C",,,,,y,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
"Led Croen Yr Ych , Powys",y,,,,,,y,,,,,,,?,,,y,,,,,,,,y,,,,,,,,,,,,,?,,,,,,,y,,,
"Leskernick, Corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
"Letterson III, phase 1",,y,,,,,?,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,?,,y,,,
"Letterstn III, Glam, phase 2",,,,,,,,,?,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,?,,,y,,
"Little Meg?Maughanby, C",y,,,,,y,?,,,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Llecheidor, Gwyn",,y,,,,,,,,,,?,,,,,,,,,?,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Llyn Y Tarw , Powys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Llynywrach, Conwy",,y,,,,,,?,,y,,,,,,,,,,y,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Long Meg,y,,,,,,,y,,,,,,,,,,,y,,,,,?,y,,,,,,,,,,,,y,,,,,,y,,,,,y
"Loupin Stsnes, D&G",y,,,,,,y,,,,,,,,y,,,,,y,,,,,,y,,,,,,,,,,,,,,,,,?,,y,,,
"Lowlongrigg NE, C",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
"Lowlongrigg SW, C",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
"Lundin Links, Tay",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Machrie Burn, Arran",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Machrie Moor 1, Arran",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Machrie Moor 10, Arran",y,,,,,,?,,,,,,,,,,y,,,,,,,,,,,?,,,,,,,,,,,,,,,y,,y,,,
"Machrie Moor 2, Arrn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Machrie Moor 4, Arran ",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Machrie Moor 4, Arran ",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Machrie Moor 5, Arrn",y,,,,,,y,,,,,,,,?,,?,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,
"Machuinn, Tay ",y,,,,,,y,,,,,,,,y,,,,,,,,,?,,y,,,,,,,,,,,,,,,,,,,y,,,
"Mchrie Moor 3, Arran",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Meini Gwyr,  Pem",,y,,,,,?,,,y,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Merryt Maidens, Corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Millin Bay, Dow",,?,,,,,,,,?,,,,,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,y,,,
Moel Goedog  East,,y,,,,,?,,,y,,,,,,,,?,,,,,,,Y,,,,,,,,,,,,,?,,,,,Y,,y,,,
Moel Goedog  West,,y,,,,,?,,,y,,,,,,,,,,?,,,,,y,,,,,,,,,,,,,?,,,,,y,,y,,,
"Moel Ty Uchaf, Denb",y,,,,,,,,y,,,,,,,,,?,,,,,,,Y,,,,,,,,,,,,?,,,,,,,,y,,,
Moncreiffe,?,,,?,,,y,,,,,,,,,,,,,,?,,,,,?,,,,,,?,,,,,y,?,,,,,,,y,,,
"Moseley Height, Lancs",,,,,,y,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,?,,,,,,,,,,,y,,,
"Murthly Hospital, Tay",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Mynydd Y Gelli , Mid Glam ",,y,,,,,,,,?,,,?,,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,,,?,,y,,,
"Na Clachan Breige, Sjye",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Nant Tawr East ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,y,,,
"Nant Tawr West, Powys",y,,,,,,y,,,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,?,,,,,,y,,y,,,
"Nine Ladies, peak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Nine Stoines, Corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,
"Ninestoineclose/Grey Ladies, peak",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Oddendale, C",y,,,,,,,y,,,,,,,,,,,,,,,,y,,,,y,,,,,,,,,,,,,,y,y,,y,,,
"Offerton Moor, peak",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Park Gate, peak",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
"Pen Y Beachdn, Powys",y,,,,,,?,,,,,,,,,,,,,,?,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
"Penhurrock, C",y,,,,,y,,?,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,y,,,
"Penmarnmawr, Druid's Circle",y,,,,,,,,,,,,Y,,,,,y,,,,,,,y,,,,,,,,,,,,?,,,,,,?,,y,,,
Rempstone,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Rhds Maen, , Powys",y,,,,,,,y,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Rhyds Y Beddau, Powys",y,,,,,,y,,,,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,,y,,,,y,,,
"Rollright Stones, Oxon",y,,,,,,,,y,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,y,,,,,y,y,,,y,,
"Sandy Road W , Tay   ",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,?,?,,y,,,
"Seven Brethren, D&G",y,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Seven Stones of Horden, Derby",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Shapbeck, C",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,
"Sheldon, Aber",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,?,,,,,,,,,,y,,,,,,,,y,,,
"Shian Bank SE, P&K",y,,,,,,?,,,,,,,,,,?,,,,,,,?,,?,,,,,,,,,,,,,,,,,y,,y,,,
"Simonburn, Pen",Y,,,,,,?,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Six Stones, Powys",y,,,,,,?,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Smelting Hill, Derby",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"South Ytsie, Aber",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"St. Colmacâ€™s Cottages, Bute",Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,?,,y,,,
"Standing stones, Moor Divock",y,,,,,,,,,,,,,,y,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
"Stanton, Corn",y,,,,,,,y,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
"Stripple Stones, Corn",,,y,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,
Strointollier 1,y,,,,,,,,y,,,,,,,,,,,,,,,y,,y,,,,,,,,,,,y,,,,,,y,,y,,,
Strontoiller ,y,,,,,,,y,,,,,,,,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,?,,y,,,
"Studfoldgate, C",y,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Sunbrick concentric, C",y,,,,,,y,,,,,,,?,,,y,,,,,,,,?,,,,,,,,,y,,,,,,,,,,,y,,,
"Swinside, C",y,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"The Beacon/Knapperthaw, C",,y,,,,,,,,?,,,,,,,,,,?,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
The Devil's Quoits,,,y,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,y
"The Kirk, C",,y,,,,,y,,,?,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,y,,,,,y,,,
"Threaplnds, C",y,,,,,,y,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Tigh Na Ruaich   ,y,,,,,,y,,,,,,,,,,,?,,,?,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Torhoukie, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,y,,,,,,,,y,,y,,,
"Trecastle Mountain NE, Powys",y,,,,,,,?,,,,,,,,,,,,?,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Tregeseal  E, corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Tregesseal W, corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Trippet Stones, corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
"Tunstead/Cadtser, derby",,y,,,,,,,,,,?,,,,,,y,,,,,,,,,,,,,,,,,,,?,,,,,,,,y,,,
"Twelve  Apostles, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,y
"Twelve Apostles, W Yorks",,?,,?,,,Y,,,?,,,,,,,Y,,,,,,,,,,?,,,,,,,,,,,,,,,,,,y,,,
"Wendron SD, Corn",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Wester Torrie , P&K   ",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Wet Withers, Derby",,y,,,,,,,,y,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,,y,,
"Whitcastles, D&G",y,,,,,,y,,,,,,,y,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,y,
"White Hag, C",y,,,,,,y,,,,,,,y,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"White Moss NE, C",y,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
"White Moss NW, C",y,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
Winterbourne Bassett,y,,,,,,,,?,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,?,,,y,,
"Woodside, P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Y Capel, Powys",y,,,,,,,,?,,,,,,,,?,,,,,,,,?,,,,,,,,,,,,,,,,,,?,,y,,,